"id_forum","forum_name","id_discussion","discussion_name","id_post","userid"
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",55671,1476
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",55723,1532
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",55746,1437
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",55748,1622
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",55780,1484
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",55844,1434
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",55847,389
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",55852,1452
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",55914,1491
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",55926,1549
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",55943,1569
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",55956,1593
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",56136,1503
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",56166,1496
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",56284,1570
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",56469,1601
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",56516,1619
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",56519,1610
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",56584,498
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",56666,1536
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",56729,1479
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",56923,1540
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",56963,1502
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",56989,1451
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",57034,524
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",57083,1567
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",57090,1972
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",57141,1564
